Código	Foto Evento	Evento	QR-code Fotos	Link Fotos	Promoção	Local	Endereço	Cidade	Estado	Data de Início	Data de Término	Ano	Responsável	Tipo de Apresentação	Tipo de Exposição	Link  1 de Reportagem	Link 2 de Reportagem	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado	Total	Comunidade	Ensino Básico Público	Ensino Básico Privado	Ensino Superior Público	Ensino Superior Privado
E053		Mostra de Profissões - Cesumar			Rotary Club - Maringá - PR	UNICESUMAR	Avenida Guedner, 1610, Jardim Aclimação	Maringá	Paraná	30/09/11	30/09/11	2011	João Roberto Gerônimo	Mostra de Objetos															
E054		MUDI ITINERANTE			MUDI - UEM	Colégio Estadual Professor Benoil Francisco Marques Boska Ensino 1º e 2º Graus,	Rua Campo Grande, 46	Ourizona	Paraná	06/10/11	07/10/11	2011	Sérgio Marcussi Gaspechak	Exposição															
E055		XII Jornada Científica			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	06/10/11	07/10/11	2011	Juniormar Organista	Comunicação															
E056		Programa Interciências			UFMS - TL	UFMS - TL	Rua Alexandre Costa, 1509, Interlagos	Três Lagoas	Mato Grosso do Sul	17/10/11	18/10/11	2011	João Roberto Gerônimo	Exposição															
E057		XX EAIC			UEPG - Ponta Grossa - PR	Universidade Estadual de Ponta Grossa	Avenida General Carlos Cavalcanti, Uvaranas	Ponta Grossa	Paraná	20/10/11	22/10/11	2011	Juniormar Organista	Comunicação															
E058		UEM NA REGIÃO			PEC - UEM	Colégio Estadual Barbosa Ferraz	Rua Rio Grande do Sul, 1200	Ivaiporã	Paraná	26/10/11	27/10/11	2011	Cláudia Juliana Fanelli Gonçalves  e Maciel de Araújo Carlos	Exposição															
E059		Programa Interciências			UFMS - TL	Universidade Federal do Mato Grosso do Sul, Campus Três Lagoas	 Avenida Capitão Olinto Mancini, 1662	Três Lagoas	Mato Grosso do Sul	27/01/12	29/01/12	2012	João Roberto Gerônimo	Oficina															
E060		III Semana de Integração - CCE			CCE - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/02/12	03/02/12	2012	João Roberto Gerônimo	Exposição															
E061		Mostra de Profissões - UEM			PEN - UEM	Universidade Estadual de Maringá, Estacionamento da Biblioteca Central, Bloco P03	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/02/12	12/04/12	2012	João Roberto Gerônimo	Mostra de Objetos															
E062		I Semana Acadêmica da Matemática			UTFPR - Cornélio Procópio	Universidade Tecnológica Federal do Paraná, Campus Cornélio Procópio,	Avenida Alberto Carazzai, 1640,  Centro	Cornélio Procópio	Paraná	08/05/12	11/05/12	2012	João Roberto Gerônimo	Exposição															
E063		MUDI ITINERANTE			MUDI - UEM	Biblioteca Cidadã Professor Deosdeth Carlos de Souza	Rua General Osório, Centro	Santa Inês	Paraná	17/05/12	18/05/12	2012	Maciel de Araújo Carlos	Mostra de Objetos															
E064		Paraná em Ação			MUDI - UEM	Praça Pública	Avenida Curitiba, Centro	Apucarana	Paraná	01/06/12	03/06/12	2012	Claudia Juliana Fanelli Rodriques	Mostra de Objetos															
E065		Justiça nos Bairros			PEC - UEM	Colégio Estadual Olavo Bilac	Rua Jaçanã, 587, Centro	Sarandi	Paraná	02/06/12	02/06/12	2012	Júlio César e Saulo Rodrigo	Mostra de Objetos															
E066		Paraná em Ação			MUDI - UEM	Praça Pública	Praça Leopoldo Mercer	Tibagi	Paraná	22/06/12	24/06/12	2012	Kleber Luciano Niro	Mostra de Objetos															
E067		Paraná em ação			MUDI - UEM	Praça Pública	Praça São Cristóvão	Quedas do Iguaçu	Paraná	20/07/12	22/07/12	2012	Sérgio Marcussi Gaspechak	Mostra de Objetos															
E068		I Encontro do IGI - Maringá			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/07/12	26/07/12	2012	Talita Druziani Marchiori, Bruna Lovato de Carvalho e Jéssica Buzatto Prudencio	Comunicação															
E069		I Encontro do IGI - Maringá			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/07/12	26/07/12	2012	Juniormar Organista, Camila Hiromi Tamura e Jusley Talita Grimes de Souza	Comunicação															
E070		I Encontro do IGI - Maringá			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	26/07/12	26/07/12	2012	João Roberto Gerônimo	Comunicação															
E071		X Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/12	03/08/12	2012	Talita Druziani Marchiori	Pôster															
E072		X Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/12	03/08/12	2012	Iara Cristina Fragal e Mariane Vieira Merim	Pôster															
E073		X Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/12	03/08/12	2012	Bruna Lovato de Carvalho, Camila Hiromi Tamura e Jusley Talita Grimes de Souza	Pôster															
E074		X Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/12	03/08/12	2012	Bruno Eduardo Tortola Milan, Édila Camila de Oliveira, André Bisca Ferreira, Leonardo dos Santos Lara e Lucas Lara	Pôster															
E075		X Fórum de Extensão da UEM			PEC - UEM	Universidade Estadual de Maringá, Departamento de Matemática, Bloco B-33	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	01/08/12	03/08/12	2012	Lucas Belluci Medalha e Monigleicia Alcade Orioli	Pôster															
E076		Paraná em ação			MUDI - UEM	Praça Pública	Praça Vereador Horácio Jose Ribeiro, SN, Centro	Ubiratã	Paraná	10/08/12	12/08/12	2012	Saulo Rodrigo Medrado	Mostra de Objetos															
E077		MUDI ITINERANTE			MUDI - UEM	Praça Pública	Praça Central	Querência do Norte	Paraná	23/08/12	24/08/12	2012	Júlio César Coelho e Maciel de Araújo Carlos	Mostra de Objetos															
E078		I Mostra Cultural e Científica			DMA - UEM	Colégio Estadual James Patrick Clarck Ensino Fundamental e Médio	Rua Barão do Rio Branco, 908	Terra Rica	Paraná	03/09/12	06/09/12	2012	Edeilson de Moraes Couto	Mostra de Objetos															
E079		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	João Roberto Gerônimo	Exposição															
E080		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	Saulo Rodrigo Medrado e Cláudia Juliana Fanelli Gonçalves 	Palestra															
E081		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	Sérgio Marcussi Gaspechak e Kleber Luciano Niro	Palestra															
E082		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	Maciel de Araújo Carlos	Oficina															
E083		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	Cláudia Juliana Fanelli Gonçalves  e Júlio César Coelho	Minicurso															
E084		Semana da Matemática - UEM			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	24/09/12	28/09/12	2012	PET-Matemática-UEM	Minicurso															
E085		Jornada Científica			DMA - UEM	Universidade Estadual de Maringá, Departamento de Matemática	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	04/10/12	05/10/12	2012	Talita Druziani Marchiori	Comunicação															
E086		Matemática em Exposição			PIBID - DMA - UEM	Colégio Estadual Rui Barbosa Ensino de 1º e 2º Graus	Rua Pioneiro Manoel Frigo	Distrito de Iguatemi, Maringá	Paraná	07/10/12	07/10/12	2012	João Roberto Gerônimo	Exposição															
E087		XXI EAIC			PPG - UEM	Universidade Estadual de Maringá, Estacionamento do Restaurante Universitário	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/10/12	11/10/12	2012	João Roberto Gerônimo	Exposição															
E088		XXI EAIC			PPG - UEM	Universidade Estadual de Maringá	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	09/10/12	11/10/12	2012	Talita Druziani Marchiori	Comunicação															
E089		Matemática em Exposição			PIBID - DMA - UEM	Universidade Estadual de Maringá, Centro de Aplicação Pedagógica - CAP	Avenida Colombo, 5.790, Jardim Universitário	Maringá	Paraná	22/10/12	23/10/12	2012	João Roberto Gerônimo	Exposição															
E090		Mostra de Profissões			Rotary Club - Maringá - PR	UNICESUMAR	Avenida Guedner, 1610, Jardim Aclimação	Maringá	Paraná	26/10/12	26/10/12	2012	PET-Matemática-UEM	Mostra de Objetos															
